Name,Department,email,Seniority,Dept_color,Dept_aura
Leona McAree,Executive Management,leona.mcaree@kochgroup.com,C-level,red,aura1
Constancia Di Bartolomeo,Executive Management,constancia.di bartolomeo@kochgroup.com,C-level,red,aura1
Corey Scandwright,Executive Management,corey.scandwright@kochgroup.com,C-level,red,aura1
Elsinore Waterland,Human Resources,elsinore.waterland@kochgroup.com,Middle level management,yellow,aura2
Petronilla Mapes,Human Resources,petronilla.mapes@kochgroup.com,Professional,yellow,aura2
Elbertine Dowe,Human Resources,elbertine.dowe@kochgroup.com,Professional,yellow,aura2
Blithe Arnaudet,Finance and Accounting,blithe.arnaudet@kochgroup.com,Middle level management,green,aura3
Ozzy Jeffries,Finance and Accounting,ozzy.jeffries@kochgroup.com,Professional,green,aura3
Constantino FitzGilbert,Finance and Accounting,constantino.fitzgilbert@kochgroup.com,Professional,green,aura3
Traci Habbal,Marketing,traci.habbal@kochgroup.com,Middle level management,blue,aura4
Roger Tabbernor,Marketing,roger.tabbernor@kochgroup.com,Professional,blue,aura4
Lazarus O'Halleghane,Marketing,lazarus.o'halleghane@kochgroup.com,Professional,blue,aura4
Karine Barclay,Marketing,karine.barclay@kochgroup.com,Professional,blue,aura4
Petronille Jouen,Marketing,petronille.jouen@kochgroup.com,Professional,blue,aura4
Dorie Parradine,Marketing,dorie.parradine@kochgroup.com,Professional,blue,aura4
Emmey Matoshin,Sales,emmey.matoshin@kochgroup.com,Middle level management,gray,aura5
Nelia Routledge,Sales,nelia.routledge@kochgroup.com,Professional,gray,aura5
Ferdinande Stickels,Sales,ferdinande.stickels@kochgroup.com,Professional,gray,aura5
Tades Querrard,Sales,tades.querrard@kochgroup.com,Professional,gray,aura5
Anatole Hansie,Sales,anatole.hansie@kochgroup.com,Professional,gray,aura5
Chris Consadine,Sales,chris.consadine@kochgroup.com,Professional,gray,aura5
Grace Spracklin,Sales,grace.spracklin@kochgroup.com,Professional,gray,aura5
Sumner Blakeway,Sales,sumner.blakeway@kochgroup.com,Professional,gray,aura5
Abigael Alred,Information Technology (IT),abigael.alred@kochgroup.com,Middle level management,black,aura6
Reina Trobey,Information Technology (IT),reina.trobey@kochgroup.com,Professional,black,aura6
Madge Torrejon,Information Technology (IT),madge.torrejon@kochgroup.com,Professional,black,aura6
Marilyn Seeman,Information Technology (IT),marilyn.seeman@kochgroup.com,Professional,black,aura6
Katina Darter,Information Technology (IT),katina.darter@kochgroup.com,Professional,black,aura6
Lynett Amy,Information Technology (IT),lynett.amy@kochgroup.com,Professional,black,aura6
Mata McGifford,Customer Service,mata.mcgifford@kochgroup.com,Middle level management,orange,aura7
Mort De Benedictis,Customer Service,mort.de benedictis@kochgroup.com,Professional,orange,aura7
Tamara Brewitt,Customer Service,tamara.brewitt@kochgroup.com,Professional,orange,aura7
Edithe Cinnamond,Customer Service,edithe.cinnamond@kochgroup.com,Professional,orange,aura7
Morly Finey,Customer Service,morly.finey@kochgroup.com,Professional,orange,aura7
Angie Penticost,Customer Service,angie.penticost@kochgroup.com,Professional,orange,aura7
Maribelle Oliver,Customer Service,maribelle.oliver@kochgroup.com,Professional,orange,aura7
Jeannie Moggan,Legal,jeannie.moggan@kochgroup.com,Middle level management,purple,aura8
Faythe Vassel,Legal,faythe.vassel@kochgroup.com,Professional,purple,aura8
Maurine Golding,Legal,maurine.golding@kochgroup.com,Professional,purple,aura8
Jorey Deguara,Product development,jorey.deguara@kochgroup.com,Middle level management,brown,aura9
Rodrique Coulston,Product development,rodrique.coulston@kochgroup.com,Professional,brown,aura9
Lisette Loweth,Product development,lisette.loweth@kochgroup.com,Professional,brown,aura9
Minette Southard,Product development,minette.southard@kochgroup.com,Professional,brown,aura9
Theressa Tuddall,Product development,theressa.tuddall@kochgroup.com,Professional,brown,aura9
Oran Benge,Product development,oran.benge@kochgroup.com,Professional,brown,aura9
Maggy Putson,Product development,maggy.putson@kochgroup.com,Professional,brown,aura9
Barry Goundsy,Product development,barry.goundsy@kochgroup.com,Professional,brown,aura9
