Email_id,Sender_Name,Sender_cadre,Sender_dept,Rec_name,Rec_cadre,Rec_dept,Email_subject,Msg_Date,Sentiment,Message_status,Device,Within_work_hrs,Within_workdays,Msg_day,Msg_month,day_name,Week_of_month,exc_type
1,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Operational Issues,2024-03-14,neutral,opened,desktop,yes,yes,14,March,Thursday,3,inter_mail
2,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-22,positive,opened,mobile,no,yes,22,March,Friday,4,inter_mail
3,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Meeting Scheduling,2024-03-26,neutral,unopened,desktop,yes,yes,26,March,Tuesday,5,inter_mail
4,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-11,neutral,opened,mobile,yes,yes,11,March,Monday,3,inter_mail
5,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-11,positive,opened,mobile,yes,yes,11,March,Monday,3,inter_mail
6,Leona McAree,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Training and Development,2024-03-14,neutral,opened,desktop,yes,yes,14,March,Thursday,3,inter_mail
7,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-15,negative,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
8,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Training and Development,2024-03-07,positive,opened,desktop,yes,yes,7,March,Thursday,2,inter_mail
9,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-27,neutral,opened,mobile,yes,yes,27,March,Wednesday,5,inter_mail
10,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Meeting Scheduling,2024-03-29,neutral,opened,mobile,yes,yes,29,March,Friday,5,inter_mail
11,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-28,neutral,opened,desktop,yes,yes,28,March,Thursday,5,inter_mail
12,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Client Related Communication,2024-03-26,neutral,unopened,desktop,yes,yes,26,March,Tuesday,5,inter_mail
13,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-20,negative,opened,desktop,yes,yes,20,March,Wednesday,4,inter_mail
14,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Operational Issues,2024-03-06,positive,opened,desktop,no,yes,6,March,Wednesday,2,inter_mail
15,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-12,neutral,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
16,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Product Development,2024-03-28,neutral,opened,desktop,yes,yes,28,March,Thursday,5,inter_mail
17,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Legal Matters,2024-03-29,neutral,opened,desktop,no,yes,29,March,Friday,5,inter_mail
18,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-06,negative,opened,desktop,yes,yes,6,March,Wednesday,2,inter_mail
19,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-22,neutral,opened,desktop,yes,yes,22,March,Friday,4,inter_mail
20,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Internal Policies and Procedures,2024-03-19,neutral,opened,desktop,yes,yes,19,March,Tuesday,4,inter_mail
21,Leona McAree,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Internal Policies and Procedures,2024-03-15,neutral,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
22,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-15,positive,opened,mobile,yes,yes,15,March,Friday,3,inter_mail
23,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Product Development,2024-03-04,negative,unopened,mobile,yes,yes,4,March,Monday,2,inter_mail
24,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Technical Support,2024-03-15,positive,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
25,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-29,neutral,unopened,desktop,yes,yes,29,March,Friday,5,inter_mail
26,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Operational Issues,2024-03-11,neutral,opened,desktop,yes,yes,11,March,Monday,3,inter_mail
27,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-19,positive,opened,desktop,yes,yes,19,March,Tuesday,4,inter_mail
28,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Product Development,2024-03-12,neutral,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
29,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Training and Development,2024-03-04,neutral,opened,mobile,yes,yes,4,March,Monday,2,inter_mail
30,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-18,positive,opened,desktop,yes,yes,18,March,Monday,4,inter_mail
31,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-12,positive,opened,mobile,no,yes,12,March,Tuesday,3,inter_mail
32,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-28,neutral,opened,desktop,yes,yes,28,March,Thursday,5,inter_mail
33,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-17,neutral,unopened,desktop,no,no,17,March,Sunday,3,inter_mail
34,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Project Updates,2024-03-11,neutral,opened,desktop,yes,yes,11,March,Monday,3,inter_mail
35,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Meeting Scheduling,2024-03-12,neutral,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
36,Leona McAree,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-28,positive,opened,desktop,no,yes,28,March,Thursday,5,inter_mail
37,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,2024-03-29,negative,opened,desktop,yes,yes,29,March,Friday,5,inter_mail
38,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Project Updates,2024-03-12,neutral,opened,mobile,yes,yes,12,March,Tuesday,3,inter_mail
39,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Meeting Scheduling,2024-03-22,neutral,opened,desktop,yes,yes,22,March,Friday,4,inter_mail
40,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Legal Matters,2024-03-29,positive,opened,desktop,yes,yes,29,March,Friday,5,inter_mail
41,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,2024-03-05,neutral,opened,mobile,no,yes,5,March,Tuesday,2,inter_mail
42,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,2024-03-15,neutral,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
43,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Legal Matters,2024-03-29,neutral,opened,desktop,no,yes,29,March,Friday,5,inter_mail
44,Leona McAree,C-level,Executive Management,Emmey Matoshin,Middle level management,Sales,Sales and Marketing,2024-03-27,positive,opened,desktop,yes,yes,27,March,Wednesday,5,inter_mail
45,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,2024-03-15,neutral,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
46,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Internal Policies and Procedures,2024-03-22,neutral,opened,mobile,yes,yes,22,March,Friday,4,inter_mail
47,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Project Updates,2024-03-19,positive,opened,desktop,yes,yes,19,March,Tuesday,4,inter_mail
48,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,2024-03-12,neutral,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
49,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Security Alerts,2024-03-07,neutral,opened,desktop,no,yes,7,March,Thursday,2,inter_mail
50,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-25,positive,opened,desktop,no,yes,25,March,Monday,5,inter_mail
51,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-13,neutral,opened,desktop,yes,yes,13,March,Wednesday,3,inter_mail
52,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,2024-03-08,neutral,opened,desktop,yes,yes,8,March,Friday,2,inter_mail
53,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-25,neutral,opened,desktop,yes,yes,25,March,Monday,5,inter_mail
54,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-11,neutral,opened,desktop,yes,yes,11,March,Monday,3,inter_mail
55,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Internal Policies and Procedures,2024-03-01,neutral,unopened,desktop,no,yes,1,March,Friday,1,inter_mail
56,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Meeting Scheduling,2024-03-15,neutral,opened,desktop,yes,yes,15,March,Friday,3,inter_mail
57,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-05,neutral,opened,desktop,yes,yes,5,March,Tuesday,2,inter_mail
58,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-12,neutral,opened,desktop,no,yes,12,March,Tuesday,3,inter_mail
59,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-19,neutral,opened,desktop,yes,yes,19,March,Tuesday,4,inter_mail
60,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,2024-03-29,neutral,opened,desktop,yes,yes,29,March,Friday,5,inter_mail
61,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-04,neutral,opened,mobile,yes,yes,4,March,Monday,2,inter_mail
62,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Project Updates,2024-03-29,neutral,opened,mobile,yes,yes,29,March,Friday,5,inter_mail
63,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-08,positive,opened,desktop,no,yes,8,March,Friday,2,inter_mail
64,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Internal Policies and Procedures,2024-03-04,positive,opened,desktop,yes,yes,4,March,Monday,2,inter_mail
65,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Operational Issues,2024-03-28,neutral,opened,desktop,yes,yes,28,March,Thursday,5,inter_mail
66,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Project Updates,2024-03-12,neutral,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
67,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Training and Development,2024-03-13,positive,opened,desktop,yes,yes,13,March,Wednesday,3,inter_mail
68,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-15,neutral,opened,mobile,yes,yes,15,March,Friday,3,inter_mail
69,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,HR related topics,2024-03-29,neutral,opened,desktop,yes,yes,29,March,Friday,5,inter_mail
70,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Meeting Scheduling,2024-03-12,neutral,opened,desktop,yes,yes,12,March,Tuesday,3,inter_mail
71,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-12,negative,opened,desktop,no,yes,12,March,Tuesday,3,inter_mail
72,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Internal Policies and Procedures,2024-03-25,positive,opened,desktop,yes,yes,25,March,Monday,5,inter_mail
73,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-04,positive,opened,desktop,yes,yes,4,March,Monday,2,inter_mail
74,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-06,neutral,opened,desktop,yes,yes,6,March,Wednesday,2,inter_mail
75,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-15,positive,opened,desktop,no,yes,15,March,Friday,3,inter_mail
76,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Product Development,2024-03-04,neutral,unopened,desktop,yes,yes,4,March,Monday,2,inter_mail
77,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,HR related topics,2024-03-25,neutral,opened,mobile,yes,yes,25,March,Monday,5,inter_mail
78,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Internal Policies and Procedures,2024-03-07,neutral,opened,desktop,yes,yes,7,March,Thursday,2,inter_mail
79,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-11,neutral,opened,desktop,yes,yes,11,March,Monday,3,inter_mail
